Date,ID,Case Number,Location Description,Primary Type,Description,Arrest,Domestic,X Coordinate,Y Coordinate,Latitude,Longitude,Ward,Community Area,District,FBI Code
2021-01-01 00:15:00,1,CA0001,STREET,THEFT,OVER $500,False,False,1170000,1900000,41.8781,-87.6298,42,32,1,06
2021-01-01 01:20:00,2,CA0002,RESIDENCE,ROBBERY,ARMED,True,True,1171000,1900500,41.8810,-87.6270,26,10,2,03
2021-01-02 14:35:00,3,CA0003,OTHER,BURGLARY,FORCED ENTRY,False,False,1170500,1899000,41.8700,-87.6500,11,15,3,05
2021-01-03 20:00:00,4,CA0004,STREET,THEFT,POCKET-PICKING,False,False,1172000,1901000,41.8900,-87.6200,25,20,4,06
2021-02-10 10:45:00,5,CA0005,RESIDENCE,ASSAULT,SIMPLE,True,False,1173000,1902000,41.8950,-87.6400,28,22,5,08
2021-03-15 16:30:00,6,CA0006,STREET,BURGLARY,ATTEMPT,False,False,1174000,1903000,41.9000,-87.6000,30,25,6,05
2021-04-01 09:10:00,7,CA0007,APARTMENT,THEFT,FROM BUILDING,False,False,1175000,1904000,41.9050,-87.6100,31,27,7,06
2021-05-20 23:50:00,8,CA0008,PARKING LOT,ROBBERY,STRONG-ARM,True,False,1176000,1905000,41.9100,-87.6150,32,28,8,03
2021-06-11 12:05:00,9,CA0009,BAR,ASSAULT,AGGRAVATED,True,False,1177000,1906000,41.9150,-87.6200,33,29,9,08
2021-07-04 18:25:00,10,CA0010,STREET,THEFT,BICYCLE THEFT,False,False,1178000,1907000,41.9200,-87.6300,34,30,10,06
